Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
Promontorium Agarum,13.87,65.73,"Planetographic, +East, -180 - 180",3149.6864085564066
﻿Promontorium Agassiz,42.4,1.77,"Planetographic, +East, -180 - 180",4014.811596157391
﻿Promontorium Archerusia,16.8,21.94,"Planetographic, +East, -180 - 180",3238.5338252991646
﻿Promontorium Deville,43.31,1.14,"Planetographic, +East, -180 - 180",4042.4058450433677
﻿Promontorium Fresnel,28.63,4.75,"Planetographic, +East, -180 - 180",3597.259060816853
﻿Promontorium Heraclides,40.6,-34.1,"Planetographic, +East, -180 - 180",3960.2295653939223
﻿Promontorium Kelvin,-26.95,-33.45,"Planetographic, +East, -180 - 180",1911.8872442426248
﻿Promontorium Laplace,46.84,-25.51,"Planetographic, +East, -180 - 180",4149.447272040615
﻿Promontorium Taenarium,-18.63,-7.34,"Planetographic, +East, -180 - 180",2164.1775197715483
