Clean Feature Name,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Origin
Promontorium Agarum,62.46,13.87,65.73,"Planetographic, +East, -180 - 180",Approved,Named from cape in Sea of Azov.
Promontorium Agassiz,18.84,42.40,1.77,"Planetographic, +East, -180 - 180",Approved,"Jean Louis Rodolphe; Swiss zoologist, geologist (1807-1873)."
Promontorium Archerusia,11.21,16.80,21.94,"Planetographic, +East, -180 - 180",Approved,Named from cape on the Black Sea.
Promontorium Deville,16.56,43.31,1.14,"Planetographic, +East, -180 - 180",Approved,Sainte-Claire Charles; French geologist (1814-1876).
Promontorium Fresnel,20.00,28.63,4.75,"Planetographic, +East, -180 - 180",Approved,Augustin Jean; French optician (1788-1827).
Promontorium Heraclides,50.00,40.60,-34.10,"Planetographic, +East, -180 - 180",Approved,Ponticus; Greek astronomer (c. 388-310 B.C.).
Promontorium Kelvin,45.01,-26.95,-33.45,"Planetographic, +East, -180 - 180",Approved,"William Thomson, Lord Kelvin; Scottish natural philosopher (1824-1907)."
Promontorium Laplace,50.00,46.84,-25.51,"Planetographic, +East, -180 - 180",Approved,"Pierre Simon; French mathematician, astronomer (1749-1827)."
Promontorium Taenarium,70.00,-18.63,-7.34,"Planetographic, +East, -180 - 180",Approved,Named from cape in Greece; now Matapan or Tainaron.
