Name,Center Latitude,Center Longitude,Distance from South Pole
﻿King 13b,6.2551,119.7615,2918.777127411551
﻿King 14,6.2784,119.7635,2919.4836614764336
﻿King 15a,6.4782,119.7847,2925.5422668911788
﻿King 15b,6.4781,119.7853,2925.5392345561363
﻿King 16,6.3643,119.9304,2922.0884372778687
﻿King 17,6.6252,119.9847,2929.9997994035284
﻿King 18,6.6235,119.9894,2929.9482497078075
﻿King 19,6.5931,119.9861,2929.026419854914
﻿King 1a,6.2408,119.7341,2918.343503500485
﻿King 1b,6.2402,119.7351,2918.3253094902307
﻿King 20a,6.5098,119.9269,2926.5004847645814
﻿King 20b,6.5108,119.9289,2926.5308081150056
﻿King 20c,6.513,119.9269,2926.597519485939
﻿King 20d,6.5142,119.9266,2926.633907506448
﻿King 20e,6.5149,119.9298,2926.6551338517447
﻿King 20f,6.5153,119.9282,2926.6672631919146
﻿King 20g,6.5165,119.9304,2926.7036512124237
﻿King 20h,6.5183,119.9299,2926.758233243187
﻿King 21,6.517,119.9875,2926.718812887636
﻿King 22,6.4835,119.9941,2925.7029806484265
﻿King 23,6.3794,119.9019,2922.546319869273
﻿King 24a,6.3416,119.9914,2921.40009722324
﻿King 24b,6.34,119.9907,2921.3515798625613
﻿King 24c,6.3389,119.9913,2921.318224177094
﻿King 25,6.2691,119.9429,2919.2016543174886
﻿King 26,6.6385,119.82,2930.4030999641705
﻿King 27,6.5044,119.8719,2926.3367386722907
﻿King 28,6.3016,119.8593,2920.187163206274
﻿King 29,6.4827,119.8145,2925.6787219680873
﻿King 2a,6.3808,119.9992,2922.5887725598664
﻿King 2b,6.3802,119.9972,2922.5705785496116
﻿King 30,6.3339,119.9937,2921.166607424974
﻿King 31,6.5229,119.9879,2926.897720655138
﻿King 32,6.3231,119.8067,2920.839115240393
﻿King 33,6.4873,119.6998,2925.8182093800383
﻿King 34a,6.3372,119.9975,2921.2666744813732
﻿King 34b,6.3361,119.9972,2921.233318795907
﻿King 35,6.4417,119.7252,2924.4354646006973
﻿King 36,6.214,119.7664,2917.5308377091183
﻿King 37,6.3814,120.0056,2922.6069665701207
﻿King 38,6.37,119.9252,2922.2612803752854
﻿King 39,6.6308,119.9842,2930.169610165904
﻿King 3a,6.4082,119.8108,2923.4196323614883
﻿King 3b,6.4081,119.8105,2923.4166000264463
﻿King 40,6.4779,119.9976,2925.5331698860514
﻿King 41,6.6376,119.8299,2930.3758089487874
﻿King 42,6.3321,120.0066,2921.1120253942104
﻿King 4a,6.2066,119.7815,2917.3064449159792
﻿King 4b,6.2061,119.7804,2917.291283240767
﻿King 5,6.3371,119.8005,2921.2636421463308
﻿King 6,6.2776,119.7247,2919.4594027960943
﻿King 7,6.467,119.7378,2925.202645366428
﻿King 8a,6.4369,119.8329,2924.2899125186614
﻿King 8b,6.4365,119.8335,2924.277783178491
﻿King 8c,6.4412,119.8331,2924.4203029254854
﻿King 9a,6.2281,119.5237,2917.9583969500986
﻿King 9b,6.2281,119.5214,2917.9583969500986
﻿Klute W 1,38.086,216.885,3883.9966624276108
﻿Klute W 2,38.1157,216.8965,3884.8972659352075
