Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
Rupes Altai,-24.32,23.12,"Planetographic, +East, -180 - 180",1991.6376558581376
Rupes Boris,30.67,-33.6,"Planetographic, +East, -180 - 180",3659.118695682118
Rupes Cauchy,9.31,37.08,"Planetographic, +East, -180 - 180",3011.411930622285
Rupes Kelvin,-28.03,-33.17,"Planetographic, +East, -180 - 180",1879.138025784543
Rupes Liebig,-25.14,-45.92,"Planetographic, +East, -180 - 180",1966.7725085103355
Rupes Mercator,-30.21,-22.84,"Planetographic, +East, -180 - 180",1813.0331218598974
Rupes Recta,-21.67,-7.7,"Planetographic, +East, -180 - 180",2071.994534482134
Rupes Toscanelli,26.97,-47.53,"Planetographic, +East, -180 - 180",3546.922299112765
