Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Arnold,66.98,35.83,"Planetographic, +East, -180 - 180",4760.159549582986
﻿Arrhenius,-55.58,-91.45,"Planetographic, +East, -180 - 180",1043.7297215992253
﻿Artamonov,25.44,103.79,"Planetographic, +East, -180 - 180",3500.527572963816
﻿Artem ev,10.4,-145.22,"Planetographic, +East, -180 - 180",3044.4643825846083
﻿Artemis,25.03,-25.36,"Planetographic, +East, -180 - 180",3488.094999289915
﻿Artsimovich,27.61,-36.63,"Planetographic, +East, -180 - 180",3566.329243384221
﻿Aryabhata,6.2,35.17,"Planetographic, +East, -180 - 180",2917.10631080318
﻿Arzachel,-18.26,-1.93,"Planetographic, +East, -180 - 180",2175.3971594284835
﻿Asada,7.25,49.9,"Planetographic, +East, -180 - 180",2948.945828748537
﻿Asclepi,-55.19,25.52,"Planetographic, +East, -180 - 180",1055.5558282646437
﻿Ashbrook,-81.1,-110.58,"Planetographic, +East, -180 - 180",269.87781877493074
﻿Aston,32.77,-87.68,"Planetographic, +East, -180 - 180",3722.7977315728317
﻿Atlas,46.74,44.38,"Planetographic, +East, -180 - 180",4146.4149369982
﻿Atwood,-5.88,57.78,"Planetographic, +East, -180 - 180",2550.8002376794543
﻿Autolycus,30.68,1.49,"Planetographic, +East, -180 - 180",3659.4219291863596
﻿Auwers,15.0,17.12,"Planetographic, +East, -180 - 180",3183.951794535696
﻿Auzout,10.21,64.01,"Planetographic, +East, -180 - 180",3038.70294600402
﻿Avery,-1.32,81.37,"Planetographic, +East, -180 - 180",2689.0747156135762
﻿Avicenna,39.63,-97.28,"Planetographic, +East, -180 - 180",3930.8159154824975
﻿Avogadro,63.21,165.36,"Planetographic, +East, -180 - 180",4645.840518483942
﻿Azophi,-22.19,12.7,"Planetographic, +East, -180 - 180",2056.2263922615766
﻿Baade,-44.75,-82.03,"Planetographic, +East, -180 - 180",1372.131606692764
﻿Babakin,-20.81,123.26,"Planetographic, +East, -180 - 180",2098.0726158469024
﻿Babbage,59.56,-57.38,"Planetographic, +East, -180 - 180",4535.160289435797
﻿Babcock,4.13,94.14,"Planetographic, +East, -180 - 180",2854.3369754251908
﻿Back,1.2,80.67,"Planetographic, +East, -180 - 180",2765.4895586824327
﻿Backlund,-16.22,103.35,"Planetographic, +East, -180 - 180",2237.2567942937485
﻿Baco,-51.04,19.1,"Planetographic, +East, -180 - 180",1181.3977325248638
﻿Baillaud,74.61,37.35,"Planetographic, +East, -180 - 180",4991.526713319246
﻿Bailly,-66.82,-68.9,"Planetographic, +East, -180 - 180",702.8952628317853
﻿Baily,49.78,30.56,"Planetographic, +East, -180 - 180",4238.597922287615
﻿Balandin,-18.94,152.58,"Planetographic, +East, -180 - 180",2154.7772811400623
﻿Balboa,19.24,-83.31,"Planetographic, +East, -180 - 180",3312.5228003340894
﻿Baldet,-53.32,-151.96,"Planetographic, +East, -180 - 180",1112.260493557803
﻿Ball,-35.92,-8.39,"Planetographic, +East, -180 - 180",1639.886790938004
﻿Ballet,20.17,30.57,"Planetographic, +East, -180 - 180",3340.723516228549
﻿Balmer,-20.27,70.22,"Planetographic, +East, -180 - 180",2114.447225075943
﻿Banachiewicz,5.28,80.01,"Planetographic, +East, -180 - 180",2889.2088284129622
﻿Bancroft,28.07,-6.43,"Planetographic, +East, -180 - 180",3580.2779845793298
﻿Bandfield,-5.4,90.77,"Planetographic, +East, -180 - 180",2565.3554458830463
﻿Banting,26.58,16.43,"Planetographic, +East, -180 - 180",3535.0961924473468
﻿Barbier,-23.85,157.93,"Planetographic, +East, -180 - 180",2005.8896305574876
﻿Barkla,-10.67,67.22,"Planetographic, +East, -180 - 180",2405.5513891477785
﻿Barnard,-29.79,85.95,"Planetographic, +East, -180 - 180",1825.7689290380401
﻿Barocius,-44.98,16.81,"Planetographic, +East, -180 - 180",1365.1572360952098
﻿Barringer,-28.22,-150.43,"Planetographic, +East, -180 - 180",1873.3765892039553
﻿Barrow,71.28,7.59,"Planetographic, +East, -180 - 180",4890.549956406829
﻿Bartels,24.51,-89.85,"Planetographic, +East, -180 - 180",3472.326857069357
﻿Bawa,-25.28,102.56,"Planetographic, +East, -180 - 180",1962.5272394509552
﻿Bayer,-51.62,-35.14,"Planetographic, +East, -180 - 180",1163.810189278857
﻿Beals,37.11,86.58,"Planetographic, +East, -180 - 180",3854.401072413641
﻿Beaumont,-18.08,28.82,"Planetographic, +East, -180 - 180",2180.8553625048307
﻿Becquerel,40.79,129.5,"Planetographic, +East, -180 - 180",3965.991001974511
﻿Becvar,-2.57,125.07,"Planetographic, +East, -180 - 180",2651.1705275833892
﻿Beer,27.07,-9.1,"Planetographic, +East, -180 - 180",3549.95463415518
﻿Behaim,-16.61,79.41,"Planetographic, +East, -180 - 180",2225.430687628331
﻿Beijerinck,-13.4,151.84,"Planetographic, +East, -180 - 180",2322.7686424898507
﻿Beketov,16.23,29.18,"Planetographic, +East, -180 - 180",3221.2495155574
﻿Bela,24.67,2.27,"Planetographic, +East, -180 - 180",3477.178593137221
﻿Belkovich,61.53,90.15,"Planetographic, +East, -180 - 180",4594.897289771371
﻿Bell,21.98,-96.53,"Planetographic, +East, -180 - 180",3395.608780496259
﻿Bellinsgauzen  Bellingshausen,-60.72,-164.85,"Planetographic, +East, -180 - 180",887.867700419097
﻿Bellot,-12.48,48.19,"Planetographic, +East, -180 - 180",2350.666124880068
﻿Belopol skiy,-17.25,-128.23,"Planetographic, +East, -180 - 180",2206.023743356876
﻿Belyaev,23.1,143.11,"Planetographic, +East, -180 - 180",3429.5709329713063
﻿Benedict,4.35,141.54,"Planetographic, +East, -180 - 180",2861.0081125185034
﻿Bergman,6.97,137.49,"Planetographic, +East, -180 - 180",2940.455290629775
﻿Bergstrand,-18.72,176.44,"Planetographic, +East, -180 - 180",2161.448418233375
﻿Berkner,25.13,-105.24,"Planetographic, +East, -180 - 180",3491.1273343323296
﻿Berlage,-63.04,-163.61,"Planetographic, +East, -180 - 180",817.5175274350703
﻿Bernoulli,34.93,60.61,"Planetographic, +East, -180 - 180",3788.296168488995
﻿Berosus,33.5,69.99,"Planetographic, +East, -180 - 180",3744.9337773824614
﻿Berzelius,36.55,50.95,"Planetographic, +East, -180 - 180",3837.4199961761174
﻿Bessarion,14.85,-37.31,"Planetographic, +East, -180 - 180",3179.403291972073
﻿Bessel,21.73,17.92,"Planetographic, +East, -180 - 180",3388.0279428902213
﻿Bettinus,-63.4,-45.16,"Planetographic, +East, -180 - 180",806.6011212823763
﻿Bhabha,-55.5,-165.31,"Planetographic, +East, -180 - 180",1046.1555896331572
﻿Bianchini,48.78,-34.37,"Planetographic, +East, -180 - 180",4208.274571863464
﻿Biela,-54.99,51.63,"Planetographic, +East, -180 - 180",1061.6204983494733
﻿Bilharz,-5.83,56.34,"Planetographic, +East, -180 - 180",2552.316405200662
﻿Billy,-13.83,-50.24,"Planetographic, +East, -180 - 180",2309.7296018074658
﻿Bingham,8.02,115.05,"Planetographic, +East, -180 - 180",2972.2948085751323
﻿Biot,-22.7,51.08,"Planetographic, +East, -180 - 180",2040.7614835452605
﻿Birkeland,-30.17,174.01,"Planetographic, +East, -180 - 180",1814.2460558768637
﻿Birkhoff,58.45,-145.65,"Planetographic, +East, -180 - 180",4501.50137046499
﻿Birmingham,65.12,-10.7,"Planetographic, +East, -180 - 180",4703.758117794068
﻿Birt,-22.36,-8.59,"Planetographic, +East, -180 - 180",2051.071422689471
﻿Bi Sheng,78.35,148.46,"Planetographic, +East, -180 - 180",5104.936043905565
