Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
Alpetragius,Alpetragius,Moon,40.02,-16.05,-4.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Al-Bitrūjī Al-Ishbīlī, Abū Ishāq; Spanish astronomer (unkn-c. 1100)."
Alphonsus,Alphonsus,Moon,110.54,-13.39,-2.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Alfonso X (El Sabio); Spanish astronomer (1221-1284).
Alter,Alter,Moon,64.73,18.74,-107.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Dinsmore; American astronomer, meteorologist (1888-1968)."
Ameghino,Ameghino,Moon,9.20,3.30,57.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Fiorino (or Florentino); Argentine paleontologist and anthropologist (1854-1911).
Amici,Amici,Moon,52.03,-10.06,-172.23,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Giovanni Battista; Italian astronomer, optician (1786-1863)."
Ammonius,Ammonius,Moon,8.55,-8.52,-0.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek philosopher (unkn.-c. A.D. 517-526).
Amontons,Amontons,Moon,2.47,-5.34,46.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Guillaume; French physicist (1663-1705).
Amundsen,Amundsen,Moon,103.39,-84.44,83.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Roald Engelbregt Gravning; Norwegian explorer (1872-1928).
Anaxagoras,Anaxagoras,Moon,51.90,73.48,-10.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (500-428 B.C.).
Anaximander,Anaximander,Moon,68.71,66.97,-51.44,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (c. 611-547 B.C.).
Anaximenes,Anaximenes,Moon,81.12,72.49,-44.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (585-528 B.C.).
Anděl,Andel,Moon,32.93,-10.41,12.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Karel; Czechoslovakian astronomer (1884-1948).
Anders,Anders,Moon,41.33,-41.31,-143.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,William Alison; American astronaut (1933-Live).
Anders' Earthrise,Anders Earthrise,Moon,40.15,-11.73,100.47,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Crater visible in the foreground of the iconic “Earthrise” colour photograph, taken aboard Apollo 8 by W. A. Anders on December 24, 1968, showing the Earth and part of the Moon’s surface. The crater was previously designated Pasteur T."
Anderson,Anderson,Moon,105.33,15.50,170.79,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John August; American astronomer (1876-1959).
Andersson,Andersson,Moon,13.42,-49.95,-95.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Leif Erland; American astronomer (1943-1979).
Andronov,Andronov,Moon,16.57,-22.68,146.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksandr Aleksandrovich; Soviet physicist (1901-1952).
Ango,Ango,Moon,0.87,20.48,-32.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,African male name.
Angström,Angstrom,Moon,9.55,29.90,-41.67,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Anders Jonas; Swedish physicist (1814-1874).
Ann,Ann,Moon,2.12,25.11,-0.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hebrew female name.
Annegrit,Annegrit,Moon,1.29,29.43,-25.64,"Planetographic, +East, -180 - 180","Crater, craters",Approved,German female name.
Ansgarius,Ansgarius,Moon,91.42,-12.92,79.72,"Planetographic, +East, -180 - 180","Crater, craters",Approved,St. Ansgar; German theologian (801-864).
Antoniadi,Antoniadi,Moon,137.92,-69.30,-173.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Eugène Michael; Turkish-born French astronomer (1870-1944).
Anuchin,Anuchin,Moon,62.14,-48.85,101.66,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Dimitrii Nikolaevich; Russian geographer (1843-1923).
Anville,Anville,Moon,10.26,1.84,49.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean-Baptiste Bourguignon; French cartographer (1697-1782).
Apianus,Apianus,Moon,63.44,-26.96,7.87,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Bienewitz, Peter; German mathematician, astronomer (1495-1552)."
Apollo,Apollo,Moon,524.23,-35.69,-151.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Named to honor Apollo missions.
Apollonius,Apollonius,Moon,50.66,4.51,60.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Apollonius of Perga; Greek mathematician (c. 262-190 B.C.).
Appleton,Appleton,Moon,64.59,37.05,158.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Edward Victor; British physicist; Nobel laureate (1892-1965).
Arago,Arago,Moon,25.51,6.15,21.43,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Dominique Francois Jean; French astronomer (1786-1853).
Aratus,Aratus,Moon,10.23,23.58,4.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aratus of Soli; Greek astronomer (c. 310-240/239 B.C.).
