Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
De Forest,De Forest,Moon,56.26,-76.94,-163.33,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Lee; American inventor (1873-1961).
de Gasparis,de Gasparis,Moon,30.90,-25.83,-50.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Annibale; Italian astronomer (1819-1892).
de Gerlache,de Gerlache,Moon,32.71,-88.48,-88.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Adrien; Belgian Antarctic explorer (1866-1934).
Delambre,Delambre,Moon,51.49,-1.94,17.39,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean-Baptiste Joseph; French astronomer (1749-1822).
De La Rue,De La Rue,Moon,135.22,59.02,52.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Warren; British astronomer (1815-1889).
Delaunay,Delaunay,Moon,44.63,-22.26,2.62,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles-Eugène; French astronomer (1816-1872).
Delia,Delia,Moon,1.57,-10.91,-6.13,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek female name.
Delisle,Delisle,Moon,24.83,29.98,-34.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph Nicolas; French astronomer (1688-1768).
Dellinger,Dellinger,Moon,82.04,-6.87,140.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John Howard; American physicist (1886-1962).
Delmotte,Delmotte,Moon,32.16,27.16,60.20,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gabriel; French astronomer (1876-1950).
Delporte,Delporte,Moon,42.50,-15.89,121.55,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Eugène Joseph; Belgian astronomer (1882-1955).
Deluc,Deluc,Moon,45.69,-55.02,-2.98,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jean Andre; Swiss geologist, physicist (1727-1817)."
Dembowski,Dembowski,Moon,26.11,2.88,7.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Baron Ercole; Italian astronomer (1815-1881).
Democritus,Democritus,Moon,37.78,62.31,34.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Greek astronomer, philosopher (c. 460-360 B.C.)."
Demonax,Demonax,Moon,121.93,-78.09,59.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek philosopher (fl. 2nd century A.D.).
De Moraes,De Moraes,Moon,54.41,49.38,143.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Abraao de; Brazilian astronomer (1916-1970).
De Morgan,De Morgan,Moon,9.68,3.31,14.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Augustus; British mathematician (1806-1871).
Denning,Denning,Moon,44.18,-16.26,142.76,"Planetographic, +East, -180 - 180","Crater, craters",Approved,William Fredrick; British astronomer (1848-1931).
De Roy,De Roy,Moon,43.51,-55.24,-98.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Felix; Belgian astronomer (1883-1942).
Desargues,Desargues,Moon,84.85,70.25,-73.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Gérard; French mathematician, engineer (1593-1662)."
Descartes,Descartes,Moon,47.73,-11.74,15.67,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"René; French mathematician, philosopher (1596-1650)."
Deseilligny,Deseilligny,Moon,6.01,21.13,20.59,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jules Alfred Pierrot; French selenographer (1868-1918).
De Sitter,De Sitter,Moon,63.79,79.81,38.57,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Willem; Dutch astronomer (1872-1934).
Deslandres,Deslandres,Moon,227.02,-32.55,-5.57,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Henri Alexandre; French astrophysicist (1853-1948).
Deutsch,Deutsch,Moon,73.33,24.35,110.91,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Armin Joseph; American astronomer (1918-1969).
De Vico,De Vico,Moon,22.13,-19.71,-60.32,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Francesco; Italian astronomer (1805-1848).
De Vries,De Vries,Moon,57.51,-19.68,-176.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hugo Marie; Dutch botanist (1848-1935).
Dewar,Dewar,Moon,46.31,-2.61,165.62,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir James; British chemist (1842-1923).
Diana,Diana,Moon,1.55,14.29,35.65,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Latin female name.
Diderot,Diderot,Moon,20.00,-20.42,121.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Denis; French philosopher (1713-1784).
Dionysius,Dionysius,Moon,17.25,2.77,17.29,"Planetographic, +East, -180 - 180","Crater, craters",Approved,St. Dionysius the Areopagite; Greek astronomer (fl. 1st century A.D.).
Diophantus,Diophantus,Moon,17.57,27.62,-34.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek mathematician (unkn-c. A.D. 300).
Dirichlet,Dirichlet,Moon,47.24,10.58,-152.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Peter Gustav Lejeune; German mathematician (1805-1859).
Dobrovol'skiy,Dobrovol skiy,Moon,38.40,-12.83,129.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georgy Timofeyevich; Soviet cosmonaut (1928-1971).
Doerfel,Doerfel,Moon,68.63,-68.97,-108.53,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georg Samuel; German astronomer (1643-1688).
Dollond,Dollond,Moon,11.04,-10.48,14.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John; British optician (1706-1761).
Donati,Donati,Moon,35.84,-20.69,5.10,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giovanni Battista; Italian astronomer (1826-1873).
Donna,Donna,Moon,1.84,7.22,38.30,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Italian female name.
Donner,Donner,Moon,55.05,-31.35,97.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Anders Severin; Finnish astronomer (1854-1938).
Doppelmayer,Doppelmayer,Moon,65.08,-28.48,-41.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Johann Gabriel; German mathematician, astronomer (1671-1750)."
Doppler,Doppler,Moon,101.79,-12.58,-159.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Johann Christian; Austrian physicist, mathematician, astronomer (1803-1853)."
Douglass,Douglass,Moon,50.95,35.50,-122.72,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Andrew Ellicott; American astronomer (1867-1962).
Dove,Dove,Moon,30.36,-46.83,31.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Heinrich Wilhelm; German physicist (1803-1879).
Draper,Draper,Moon,8.28,17.56,-21.75,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Henry; American astronomer (1837-1882).
Drebbel,Drebbel,Moon,30.23,-40.93,-49.12,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Cornelius; Dutch inventor (1572-1634).
Dreyer,Dreyer,Moon,63.84,10.24,97.09,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Ludwig Emil; Danish astronomer (1852-1926).
Drude,Drude,Moon,27.13,-38.56,-91.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Paul Karl Ludwig; German physicist (1863-1906).
Dryden,Dryden,Moon,54.45,-33.21,-156.15,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Hugh Latimer; American physicist, engineer (1898-1965)."
Drygalski,Drygalski,Moon,162.49,-79.57,-87.18,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Erich Dagobert von; German geographer, geophysicist (1865-1949)."
Dubyago,Dubyago,Moon,48.12,4.38,69.95,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Dmitrij Ivanovich; Russian astronomer (1850-1918); Alexander Dmitrievich; Soviet astronomer (1903-1959).
Dufay,Dufay,Moon,36.11,5.57,169.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean Claude Barthélemy; French astronomer (1896-1967).
Dugan,Dugan,Moon,49.65,64.12,103.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Raymond Smith; American astronomer (1878-1940).
Dunér,Duner,Moon,65.07,44.68,179.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nils Christofer; Swedish astronomer (1839-1914).
Dunthorne,Dunthorne,Moon,15.12,-30.12,-31.71,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Richard; British astronomer (1711-1775).
Dyson,Dyson,Moon,63.14,60.87,-121.71,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Frank Watson; British astronomer (1868-1939).
Dziewulski,Dziewulski,Moon,68.90,20.99,99.02,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Wladyslaw; Polish astronomer (1878-1962).
Easley,Easley,Moon,9.00,-23.69,87.97,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Annie Jean; American computer scientist, mathematician, and rocket scientist (1933-2011)."
Eckert,Eckert,Moon,2.62,17.28,58.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Wallace John; American astronomer (1902-1971).
Eddington,Eddington,Moon,120.13,21.50,-72.02,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Sir Arthur Stanley; British astrophysicist, mathematician (1882-1944)."
Edison,Edison,Moon,62.72,24.88,99.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Thomas Alva; American inventor (1847-1931).
Edith,Edith,Moon,6.92,-25.77,102.33,"Planetographic, +East, -180 - 180","Crater, craters",Approved,English female name.
Egede,Egede,Moon,34.18,48.72,10.64,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hans; Danish natural historian (1686-1758).
Ehrlich,Ehrlich,Moon,33.58,40.82,-172.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Paul; German doctor; Nobel laureate (1854-1915).
Eichstadt,Eichstadt,Moon,49.57,-22.63,-78.42,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Lorentz; German mathematician, astronomer (1596-1660)."
Eijkman,Eijkman,Moon,56.36,-63.21,-142.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Christiaan; Dutch doctor; Nobel laureate (1858-1930).
Eimmart,Eimmart,Moon,44.99,23.97,64.80,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georg Christoph; German astronomer (1638-1705).
Einstein,Einstein,Moon,181.47,16.60,-88.65,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Albert; German-American physicist; Nobel laureate (1879-1955).
Einthoven,Einthoven,Moon,73.94,-5.06,110.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Willem; Dutch physiologist; Nobel laureate (1860-1927).
Elger,Elger,Moon,21.51,-35.40,-29.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Thomas Gwyn Empy; British astronomer (1836-1897).
Ellerman,Ellerman,Moon,46.21,-25.44,-120.39,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ferdinand; American astronomer (1869-1940).
Ellison,Ellison,Moon,36.99,54.93,-108.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Mervyn Archdall; Irish-born British astronomer (1909-1963).
Elmer,Elmer,Moon,16.86,-10.23,84.18,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles Wesley; American astronomer (1872-1954).
Elvey,Elvey,Moon,80.21,9.01,-100.64,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Christian Thomas; American astronomer, geophysicist (1899-1970)."
Emden,Emden,Moon,114.64,62.76,-176.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Robert; Swiss astrophysicist, meteorologist (1862-1940)."
Encke,Encke,Moon,28.27,4.57,-36.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Johann Franz; German mathematician, astronomer (1791-1865)."
Endymion,Endymion,Moon,122.10,53.61,56.48,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek mythological character.
Engel'gardt (Engelhardt),Engel gardt  Engelhardt,Moon,43.51,5.39,-159.47,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vasilij Pavlovich; Russian astronomer (1828-1915).
Eötvös,Eotvos,Moon,101.80,-35.61,134.43,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Lóránt (English - Roland) von; Hungarian physicist (1848-1919).
Epigenes,Epigenes,Moon,54.51,67.50,-4.62,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (unkn-c. 200 B.C.).
Epimenides,Epimenides,Moon,22.56,-40.92,-30.33,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Greek philosopher, writer (unkn-fl. 596 B.C.)."
Eratosthenes,Eratosthenes,Moon,58.77,14.47,-11.32,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Greek astronomer, geographer (c. 276-196 B.C.)."
Erlanger,Erlanger,Moon,10.94,86.99,28.62,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Joseph; American physiologist, Nobel Prize winner 1944 (1874-1965)."
Erro,Erro,Moon,63.75,5.68,98.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Luis Enrique; Mexican astronomer (1897-1955).
Esclangon,Esclangon,Moon,15.29,21.47,42.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ernest Benjamin; French astronomer (1876-1954).
Esnault-Pelterie,Esnault Pelterie,Moon,76.79,47.41,-141.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Robert-Albert-Charles; French rocketry engineer (1881-1957).
Espin,Espin,Moon,70.01,28.15,109.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Thomas Henry Espinall Compton; British astronomer (1858-1934).
Euclides,Euclides,Moon,11.80,-7.40,-29.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Euclid; Greek mathematician (unkn-c. 300 B.C.).
Euctemon,Euctemon,Moon,62.70,76.26,30.57,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (unkn-fl. 432 B.C.).
Eudoxus,Eudoxus,Moon,70.16,44.27,16.23,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Greek astronomer (c. 408-355 B.C.).
Euler,Euler,Moon,26.03,23.26,-29.18,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Leonhard; Swiss mathematician (1707-1783).
Evans,Evans,Moon,69.40,-9.63,-133.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sir Arthur; British archaeologist (1851-1941).
Evdokimov,Evdokimov,Moon,48.88,34.57,-153.04,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Nikolaj N.; Soviet astronomer (1868-1940).
Evershed,Evershed,Moon,65.28,35.30,-159.51,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John; British astronomer (1864-1956).
Ewen,Ewen,Moon,2.60,7.69,121.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gaelic male name.
Fabbroni,Fabbroni,Moon,10.55,18.66,29.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Giovanni Valentino Mattia; Italian chemist (1752-1822).
Fabricius,Fabricius,Moon,78.90,-42.75,41.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Goldschmidt, David; Dutch astronomer (1564-1617)."
Fabry,Fabry,Moon,179.44,43.07,100.68,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Charles; French physicist (1867-1945).
Fahrenheit,Fahrenheit,Moon,6.65,13.12,61.71,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gabriel Daniel; Dutch physicist (1686-1736).
Fairouz,Fairouz,Moon,2.87,-26.07,102.95,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Arab female name.
Faraday,Faraday,Moon,69.03,-42.45,8.75,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Michael; British chemist, physicist (1791-1867)."
Faustini,Faustini,Moon,42.48,-87.18,84.31,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Arnaldo; Italian polar geographer (1874-1944).
Fauth,Fauth,Moon,11.94,6.23,-20.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Philipp Johann Heinrich; German selenographer (1867-1941).
Faye,Faye,Moon,38.02,-21.39,3.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hervé-Auguste-Etienne-Albans; French astronomer (1814-1902).
Fechner,Fechner,Moon,59.32,-58.25,125.03,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Gustav Theodor; German physicist, psychologist, and philosopher (1801-1887)."
Fedorov,Fedorov,Moon,6.08,28.23,-37.05,"Planetographic, +East, -180 - 180","Crater, craters",Approved,A.P.; Russian rocket scientist (1872-1920).
Felix,Felix,Moon,1.45,25.09,-25.38,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Latin male name.
Fényi,Fenyi,Moon,43.31,-44.94,-105.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Gyula; Hungarian astronomer (1845-1927).
Feoktistov,Feoktistov,Moon,22.06,30.73,140.50,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Konstantin P.; Soviet cosmonaut (1926-2009).
Fermat,Fermat,Moon,37.77,-22.71,19.79,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Pierre De; French mathematician (1601-1665).
Fermi,Fermi,Moon,241.41,-19.61,123.24,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Enrico; Italian-American physicist; Nobel laureate (1901-1954).
Fernelius,Fernelius,Moon,68.42,-38.18,4.86,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jean François; French doctor, astronomer (1497-1558)."
Fersman,Fersman,Moon,148.14,17.90,-126.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksandr Yevgenyevich; Soviet geochemist (1883-1945).
Fesenkov,Fesenkov,Moon,36.12,-23.16,135.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vasilii Grigor'evich; Russian astrophysicist (1889-1972).
Feuillée,Feuillee,Moon,8.94,27.37,-9.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Louis; French natural scientist (1660-1732).
Fibiger,Fibiger,Moon,21.10,86.14,37.13,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Joahnnes Andreas Grib; Danish pathologist, Nobel Prize winner 1926 (1867-1928)."
Finsch,Finsch,Moon,4.05,23.58,21.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Otto Friedrich Hermann; German zoologist (1839-1917).
Finsen,Finsen,Moon,72.98,-42.29,-177.72,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Niels Ryberg; Danish phototherapist; Nobel laureate (1860-1904).
Firmicus,Firmicus,Moon,56.81,7.25,63.43,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Julius Maternus of Syracuse; Roman astrologer (fl. A.D. 330-354).
Firsov,Firsov,Moon,51.00,4.20,112.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Georgij Frolovich; Soviet rocketry engineer (1917-1960).
Fischer,Fischer,Moon,30.48,7.99,142.44,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Emil Hermann; German chemist (1852-1919); Hans; German organic chemist (1881-1945).
Fitzgerald,Fitzgerald,Moon,104.21,26.67,-172.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,George Francis; Irish physicist (1851-1901).
Fizeau,Fizeau,Moon,107.08,-58.19,-134.11,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Armand-Hippolyte-Louis; French physicist (1819-1896).
Flammarion,Flammarion,Moon,76.18,-3.33,-3.73,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Camille; French astronomer (1842-1925).
Flamsteed,Flamsteed,Moon,19.34,-4.49,-44.34,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John; British astronomer (1646-1719).
Fleming,Fleming,Moon,126.37,14.91,109.28,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Alexander; British doctor, Nobel laureate (1881-1955); Williamina Paton; Scottish-born American astronomer (1857-1911)."
Florensky,Florensky,Moon,69.03,25.45,131.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Kirill Pavlovich; Soviet geologist (1915-1982).
Florey,Florey,Moon,69.06,87.04,-19.75,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Howard Walter; Australian-born British pathologist, Nobel Prize winner 1945 (1898-1968)."
Focas,Focas,Moon,22.04,-33.70,-93.91,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Ionnas (Jean-Henri); Greek/French astronomer (1909-1969).
Fontana,Fontana,Moon,31.47,-16.04,-56.79,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Francesco; Italian astronomer (c. 1585-1646).
Fontenelle,Fontenelle,Moon,37.68,63.42,-18.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Bernard Le Bovier De; French astronomer (1657-1757).
Foster,Foster,Moon,37.02,23.59,-141.49,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John Stuart; Canadian physicist (1890-1964).
Foucault,Foucault,Moon,25.08,50.46,-39.86,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Leon; French physicist (1819-1868).
Fourier,Fourier,Moon,51.57,-30.31,-53.10,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean-Baptiste Joseph; French mathematician (1768-1830).
Fowler,Fowler,Moon,139.52,42.59,-145.27,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Alfred; British astronomer (1868-1940); Ralph Howard; British mathematician; physicist (1889-1944).
Fox,Fox,Moon,23.97,0.47,98.14,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Philip; American astronomer (1878-1944).
Fracastorius,Fracastorius,Moon,120.58,-21.36,33.07,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Fracastoro, Girolamo; Italian doctor, astronomer (1483-1553)."
Fra Mauro,Fra Mauro,Moon,96.76,-6.06,-16.97,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Italian geographer (unkn-1459).
Franck,Franck,Moon,11.91,22.59,35.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,James; German physicist; Nobel laureate (1882-1964).
Franklin,Franklin,Moon,55.92,38.73,47.64,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Benjamin; American inventor (1706-1790).
Franz,Franz,Moon,25.48,16.57,40.24,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Julius Heinrich; German astronomer (1847-1913).
Fraunhofer,Fraunhofer,Moon,57.75,-39.52,59.06,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Joseph von; German astronomer, optician (1787-1826)."
Fredholm,Fredholm,Moon,13.39,18.37,46.55,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Erik Ivar; Swedish mathematician (1866-1927).
Freud,Freud,Moon,2.85,25.79,-52.40,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Sigmund; Austrian psychoanalyst (1856-1939).
Freundlich,Freundlich,Moon,83.16,25.00,170.89,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Erwin (Finlay-); German-British astronomer (1885-1964).
Fridman (Friedmann),Fridman  Friedmann,Moon,101.45,-12.48,-126.88,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksandr Alexandrovich; Soviet physicist (1888-1925).
Froelich,Froelich,Moon,56.73,80.00,-111.63,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jack Edward (Froehlich); American rocket scientist (1921-1967).
Frost,Frost,Moon,78.30,37.41,-118.90,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Edwin Brant; American astronomer (1866-1935).
Fryxell,Fryxell,Moon,17.62,-21.25,-101.65,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Roald Hilding; American geologist (1934-1974).
Furnerius,Furnerius,Moon,135.03,-36.00,60.54,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Fournier, Georges: French mathematician (1595-1652)."
Gadomski,Gadomski,Moon,65.66,36.21,-147.36,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jan; Polish astronomer (1889-1966).
Gagarin,Gagarin,Moon,261.83,-19.66,149.35,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Yury Alekseyevich; Soviet cosmonaut (1934-1968).
Galen,Galen,Moon,9.18,21.95,4.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Claudius; Greek doctor (c. 129-200).
Galilaei,Galilaei,Moon,15.99,10.48,-62.83,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Galileo; Italian astronomer, physicist (1564-1642)."
Galle,Galle,Moon,20.96,55.87,22.33,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johann Gottfried; German astronomer (1812-1910).
Galois,Galois,Moon,231.97,-13.94,-152.99,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Evariste; French mathematician (1811-1832).
Galvani,Galvani,Moon,76.83,49.51,-84.56,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Luigi; Italian physicist (1737-1798).
Gambart,Gambart,Moon,24.68,0.92,-15.24,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean-Felix-Adolphe; French astronomer (1800-1836).
Gamow,Gamow,Moon,113.92,65.29,144.65,"Planetographic, +East, -180 - 180","Crater, craters",Approved,George; American physicist (1904-1968).
Ganskiy (Hansky),Ganskiy  Hansky,Moon,42.11,-9.64,97.00,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Aleksey Pavlovich; Russian astronomer (1870-1908).
Ganswindt,Ganswindt,Moon,77.52,-79.42,111.17,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Hermann; German rocketry engineer (1856-1934).
Garavito,Garavito,Moon,81.05,-47.21,156.78,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Julio Garavito Armero; Colombian astronomer (1865-1920).
Gardner,Gardner,Moon,17.62,17.75,33.81,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Irvine Clifton; American physicist (1889-1972).
Gärtner,Gartner,Moon,101.79,59.24,34.76,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Christian; German mineralogist, geologist (c. 1750-1813)."
Gassendi,Gassendi,Moon,111.39,-17.55,-39.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Pierre; French astronomer, mathematician (1592-1655)."
Gaston,Gaston,Moon,2.02,30.88,-33.96,"Planetographic, +East, -180 - 180","Crater, craters",Approved,French male name.
Gaudibert,Gaudibert,Moon,33.14,-10.93,37.82,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Casimir Marie; French astronomer (1823-1901).
Gauricus,Gauricus,Moon,79.64,-33.91,-12.74,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Gaurico, Luca; Italian astronomer (1476-1558)."
Gauss,Gauss,Moon,170.72,36.01,79.08,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Karl Friedrich; German mathematician (1777-1855).
Gavrilov,Gavrilov,Moon,61.62,17.41,131.22,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Aleksandr Ivanovich; Soviet rocket engineer (1884-1955), Igor V.; Soviet astronomer (1928-1982)."
Gay-Lussac,Gay Lussac,Moon,25.40,13.88,-20.79,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph Louis; French physicist (1778-1850).
G. Bond,G  Bond,Moon,19.05,32.39,36.32,"Planetographic, +East, -180 - 180","Crater, craters",Approved,George Philip; American astronomer (1826-1865).
Geber,Geber,Moon,44.67,-19.46,13.85,"Planetographic, +East, -180 - 180","Crater, craters",Approved,"Jābir Ibn Aflah Al-Ishbīlī, Abū Muhammad; Spanish-Arab astronomer (fl. first half of twelfth cent.)."
Geiger,Geiger,Moon,36.63,-14.39,158.41,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Johannes Hans Wilhelm; German physicist (1882-1945).
