Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Rimae Repsold,50.74,-80.46,"Planetographic, +East, -180 - 180",4267.708338694798
﻿Rimae Riccioli,-1.52,-73.07,"Planetographic, +East, -180 - 180",2683.010045528746
﻿Rimae Ritter,3.5,17.97,"Planetographic, +East, -180 - 180",2835.2332646579766
﻿Rimae Romer,26.98,34.86,"Planetographic, +East, -180 - 180",3547.2255326170066
﻿Rimae Secchi,0.99,44.08,"Planetographic, +East, -180 - 180",2759.121655093362
﻿Rimae Sirsalis,-15.01,-61.36,"Planetographic, +East, -180 - 180",2273.9480483069697
﻿Rimae Sosigenes,8.08,18.72,"Planetographic, +East, -180 - 180",2974.114209600581
﻿Rimae Stadius,10.5,-13.7,"Planetographic, +East, -180 - 180",3047.496717627023
﻿Rimae Sulpicius Gallus,20.65,9.99,"Planetographic, +East, -180 - 180",3355.2787244321407
﻿Rimae Taruntius,5.83,46.83,"Planetographic, +East, -180 - 180",2905.8866711462447
﻿Rimae Theaetetus,33.04,5.87,"Planetographic, +East, -180 - 180",3730.985036187353
﻿Rimae Triesnecker,5.1,4.83,"Planetographic, +East, -180 - 180",2883.750625336616
﻿Rima Euler,21.08,-30.31,"Planetographic, +East, -180 - 180",3368.3177651145247
﻿Rimae Vasco da Gama,11.55,-84.03,"Planetographic, +East, -180 - 180",3079.3362355723802
﻿Rimae Zupus,-15.46,-53.76,"Planetographic, +East, -180 - 180",2260.3025406161023
﻿Rima Flammarion,-2.38,-4.67,"Planetographic, +East, -180 - 180",2656.9319641639777
﻿Rima Furnerius,-35.3,61.17,"Planetographic, +East, -180 - 180",1658.6872682009766
﻿Rima Galilaei,12.91,-59.2,"Planetographic, +East, -180 - 180",3120.5759921492227
﻿Rima Gartner,58.84,35.77,"Planetographic, +East, -180 - 180",4513.3274771304095
﻿Rima Gay Lussac,13.18,-22.33,"Planetographic, +East, -180 - 180",3128.7632967637433
﻿Rima G  Bond,32.86,35.25,"Planetographic, +East, -180 - 180",3725.526833111005
﻿Rima Hadley,25.72,3.15,"Planetographic, +East, -180 - 180",3509.0181110825783
﻿Rima Hansteen,-12.09,-52.99,"Planetographic, +East, -180 - 180",2362.4922315454864
